STT,Email Dang Nhap,Mat Khau
1,student01@edu.vn,l8s164
2,student02@edu.vn,134e9k
3,student03@edu.vn,6t1x54
4,student04@edu.vn,0v06q5
5,student05@edu.vn,76r88r
6,student06@edu.vn,6mr070
7,student07@edu.vn,01r8m9
8,student08@edu.vn,6r98n1
9,student09@edu.vn,44di61
10,student10@edu.vn,601u1z
11,student11@edu.vn,68o39o
12,student12@edu.vn,74ak80
13,student13@edu.vn,3u127i
14,student14@edu.vn,3mz754
15,student15@edu.vn,00y4y8
16,student16@edu.vn,13m89n
17,student17@edu.vn,95t1w8
18,student18@edu.vn,1b96q8
19,student19@edu.vn,0986sl
20,student20@edu.vn,n4053c
21,student21@edu.vn,0994ug
22,student22@edu.vn,45cu97
23,student23@edu.vn,51t40a
24,student24@edu.vn,74zb88
25,student25@edu.vn,3109ef
26,student26@edu.vn,7tn824
27,student27@edu.vn,x8185e
28,student28@edu.vn,a90i00
29,student29@edu.vn,53e54f
30,student30@edu.vn,126b8o
31,student31@edu.vn,4769ga
32,student32@edu.vn,m952g0
33,student33@edu.vn,a597z2
34,student34@edu.vn,20sw21
35,student35@edu.vn,419g4p
36,student36@edu.vn,24lc92
37,student37@edu.vn,08z53l
38,student38@edu.vn,364og5
39,student39@edu.vn,n5057f
40,student40@edu.vn,sw5330
41,student41@edu.vn,110r8m
42,student42@edu.vn,111kh6
43,student43@edu.vn,7788xb
44,student44@edu.vn,9o106m
45,student45@edu.vn,840f2j
46,student46@edu.vn,2r06p4
47,student47@edu.vn,3047wj
48,student48@edu.vn,r304e3
49,student49@edu.vn,b5j981
50,student50@edu.vn,c710j0
51,student51@edu.vn,1830ui
52,student52@edu.vn,j85c87
53,student53@edu.vn,v63f45
54,student54@edu.vn,64q3k4
55,student55@edu.vn,90e5a4
56,student56@edu.vn,36j38q
57,student57@edu.vn,91h97t
58,student58@edu.vn,3cs969
59,student59@edu.vn,n3291e
60,student60@edu.vn,r1b533
61,student61@edu.vn,625ag4
62,student62@edu.vn,25x5t1
63,student63@edu.vn,081c5u
64,student64@edu.vn,113j1m
65,student65@edu.vn,54y55u
66,student66@edu.vn,77j0u0
67,student67@edu.vn,5o84t1
68,student68@edu.vn,p4463r
69,student69@edu.vn,96i09u
70,student70@edu.vn,56qk42
71,student71@edu.vn,004m1r
72,student72@edu.vn,2205ik
73,student73@edu.vn,o264z9
74,student74@edu.vn,q814s2
75,student75@edu.vn,03b7o2
76,student76@edu.vn,88g8y9
77,student77@edu.vn,3278pi
78,student78@edu.vn,98mo58
79,student79@edu.vn,x6873x
80,student80@edu.vn,799m3v
